,Name,Artist,Weeks.on.chart,Peak.position
0,...Ready For It?,Taylor Swift,20.0,4.0
1,0 To 100 / The Catch Up,Drake,20.0,35.0
2,1 Thing,Amerie,20.0,8.0
4,10 Bands,Drake,13.0,58.0
6,100 Years,Five For Fighting,22.0,28.0
7,1234,Feist,15.0,8.0
9,1901,Phoenix,13.0,84.0
10,1973,James Blunt,3.0,73.0
11,1985,Bowling For Soup,20.0,23.0
12,1994,Jason Aldean,11.0,52.0
13,1999,Prince,30.0,12.0
14,2 Phones,Kevin Gates,25.0,17.0
15,2 Step,Unk,21.0,24.0
16,21 Guns,Green Day,20.0,22.0
17,22,Taylor Swift,20.0,20.0
18,24'S,T.I.,15.0,78.0
19,24/7,Kevon Edmonds,20.0,10.0
20,24K Magic,Bruno Mars,41.0,4.0
22,3,Britney Spears,20.0,1.0
24,30 For 30 Freestyle,Drake,2.0,88.0
26,4 In The Morning,Gwen Stefani,16.0,54.0
27,44 More,Logic,5.0,22.0
28,50 Ways To Say Goodbye,Train,20.0,20.0
31,7 Days,Craig David,20.0,10.0
32,7 Rings,Ariana Grande,23.0,1.0
33,7 Years,Lukas Graham,36.0,2.0
35,8 Out Of 10,Drake,3.0,21.0
36,808,Blaque,20.0,8.0
37,80S Mercedes,Maren Morris,13.0,74.0
38,8Th Of November,"Big, Rich",2.0,94.0
39,9,Drake,5.0,45.0
40,92 Explorer,Post Malone,3.0,40.0
41,A Bay Bay,Hurricane Chris,20.0,7.0
42,A Different World,Bucky Covington,20.0,58.0
44,A Guy Walks Into A Bar,Tyler Farr,20.0,51.0
47,A Little Bit Stronger,Sara Evans,21.0,34.0
48,A Little More Country Than That,Easton Corbin,20.0,42.0
49,A Little More Summertime,Jason Aldean,13.0,52.0
50,A Little Too Late,Toby Keith,15.0,53.0
52,A Long Walk,Jill Scott,19.0,43.0
53,A Lot,21 Savage,23.0,12.0
54,A Lot Of Things Different,Kenny Chesney,15.0,55.0
56,A Milli,Lil Wayne,23.0,6.0
58,A Moment Like This,Kelly Clarkson,20.0,1.0
59,A Night To Remember,Joe Diffie,20.0,38.0
60,A Public Affair,Jessica Simpson,12.0,14.0
61,A Real Fine Place To Start,Sara Evans,20.0,38.0
62,A Sky Full Of Stars,Coldplay,26.0,10.0
63,A Thousand Miles,Vanessa Carlton,41.0,5.0
64,A Thousand Years,Christina Perri,26.0,31.0
65,A Woman Like You,Lee Brice,20.0,33.0
66,A Woman'S Worth,Alicia Keys,20.0,7.0
67,A Year Without Rain,"Selena Gomez, The Scene",8.0,35.0
69,About You Now,Miranda Cosgrove,4.0,47.0
70,Acapella,Karmin,8.0,72.0
71,Accidentally In Love,Counting Crows,20.0,39.0
72,According To You,Orianthi,21.0,17.0
73,Acquainted,The Weeknd,18.0,60.0
74,Act A Fool,Ludacris,11.0,32.0
75,Act Up,City Girls,17.0,26.0
76,Addicted,Saving Abel,34.0,20.0
77,Addicted,Simple Plan,19.0,45.0
78,Adorn,Miguel,33.0,17.0
79,Adventure Of A Lifetime,Coldplay,20.0,13.0
80,Aerials,System Of A Down,20.0,55.0
82,Africa,Weezer,15.0,51.0
83,After Party,Koffee Brown,20.0,44.0
84,Again,Fetty Wap,26.0,33.0
85,Again,Lenny Kravitz,32.0,4.0
86,Ain'T Back Yet,Kenny Chesney,13.0,50.0
87,Ain'T It Fun,Paramore,24.0,10.0
88,Ain'T It Funny,Jennifer Lopez,27.0,1.0
89,Ain'T My Fault,Zara Larsson,7.0,76.0
90,Ain'T No Other Man,Christina Aguilera,20.0,6.0
91,Ain'T No Rest For The Wicked,Cage The Elephant,11.0,83.0
92,Ain'T Nothing 'Bout You,"Brooks, Dunn",20.0,25.0
93,Ain'T Worried About Nothin,French Montana,13.0,63.0
94,Ain'T Worth The Whiskey,Cole Swindell,19.0,43.0
95,Ain'T Your Mama,Jennifer Lopez,2.0,76.0
96,Alcohol,Brad Paisley,18.0,28.0
97,Alejandro,Lady Gaga,23.0,5.0
98,Alive,Krewella,20.0,32.0
99,Alive,Sia,3.0,56.0
100,All About That Bass,Meghan Trainor,47.0,1.0
101,All About Tonight,Blake Shelton,19.0,37.0
102,All Around Me,Flyleaf,20.0,40.0
103,All Girls Are The Same,Juice Wrld,20.0,41.0
104,All Gold Everything,Trinidad James,20.0,36.0
106,All I Want For Christmas Is You,Mariah Carey,30.0,3.0
107,All I Want To Do,Sugarland,16.0,18.0
108,All Jacked Up,Gretchen Wilson,11.0,42.0
109,All Mine,Kanye West,9.0,11.0
110,All My Friends,21 Savage,2.0,67.0
111,All My Friends Say,Luke Bryan,13.0,59.0
112,All My Life,Foo Fighters,20.0,43.0
113,All Of Me,John Legend,59.0,1.0
114,All Of The Lights,Kanye West,25.0,18.0
115,All On Me,Devin Dawson,20.0,52.0
117,All Over The Road,Easton Corbin,20.0,51.0
118,All Star,Smash Mouth,30.0,4.0
119,All Summer Long,Kid Rock,20.0,23.0
120,All That I Can Say,Mary J. Blige,14.0,44.0
121,All That Matters,Justin Bieber,8.0,24.0
122,All The Good Girls Go To Hell,Billie Eilish,2.0,46.0
123,All The Pretty Girls,Kenny Chesney,14.0,63.0
124,All The Right Moves,Onerepublic,34.0,18.0
125,All The Things She Said,T.A.T.U.,20.0,20.0
127,All These Things That I'Ve Done,The Killers,14.0,74.0
128,All Things Considered,Yankee Grey,20.0,55.0
129,All Time Low,Jon Bellion,22.0,16.0
130,All To Myself,Dan + Shay,8.0,66.0
132,All You Wanted,Michelle Branch,28.0,6.0
133,All Your Life,The Band Perry,23.0,37.0
134,Almost,Bowling For Soup,20.0,46.0
135,Almost Doesn'T Count,Brandy,20.0,16.0
136,Almost Home,Craig Morgan,14.0,59.0
137,Almost Is Never Enough,"Ariana Grande, Nathan Sykes",2.0,82.0
138,Alone,Halsey,14.0,66.0
139,Alone,Marshmello,11.0,28.0
140,Alone Together,Fall Out Boy,8.0,71.0
141,Alone With You,Jake Owen,20.0,41.0
142,Already Callin' You Mine,Parmalee,3.0,91.0
143,Already Gone,Kelly Clarkson,31.0,13.0
144,Already Gone,Sugarland,19.0,41.0
145,Alright,Darius Rucker,20.0,30.0
146,Alright,Kendrick Lamar,14.0,81.0
147,Always,Saliva,20.0,51.0
148,Always Remember Us This Way,Lady Gaga,9.0,41.0
149,Always The Love Songs,Eli Young Band,11.0,69.0
150,Alyssa Lies,Jason Michael Carroll,12.0,64.0
151,Am I The Only One,Dierks Bentley,20.0,39.0
152,Am I Wrong,"Nico, Vinz",31.0,4.0
153,Am To Pm,Christina Milian,20.0,27.0
154,Amarillo Sky,Jason Aldean,20.0,59.0
155,Amazed,Lonestar,55.0,1.0
156,Amazing,Josh Kelley,20.0,79.0
158,American Baby,Dave Matthews Band,11.0,16.0
159,American Country Love Song,Jake Owen,17.0,55.0
160,American Girl,Bonnie Mckee,6.0,87.0
161,American Idiot,Green Day,20.0,61.0
162,American Kids,Kenny Chesney,20.0,23.0
163,American Oxygen,Rihanna,4.0,78.0
164,American Pie,Madonna,9.0,29.0
165,American Ride,Toby Keith,16.0,35.0
166,American Saturday Night,Brad Paisley,15.0,67.0
167,American Soldier,Toby Keith,20.0,28.0
168,American Woman,Lenny Kravitz,21.0,49.0
169,Amnesia,5 Seconds Of Summer,20.0,16.0
172,Anaconda,Nicki Minaj,22.0,2.0
174,And I Am Telling You I'M Not Going,Jennifer Hudson,13.0,60.0
175,Angel,Akon,10.0,56.0
176,Angel,Amanda Perez,20.0,20.0
177,Angel Eyes,Love And Theft,20.0,32.0
178,Angel In Blue Jeans,Train,3.0,79.0
179,Angelito,Don Omar,4.0,93.0
180,Angels,Robbie Williams,19.0,53.0
181,Angels On The Moon,Thriving Ivory,9.0,75.0
182,Angry All The Time,Tim Mcgraw,20.0,38.0
183,Animal,Neon Trees,36.0,13.0
184,Animal I Have Become,Three Days Grace,20.0,60.0
185,Animals,Maroon 5,33.0,3.0
186,Animals,Martin Garrix,34.0,21.0
187,Animals,Nickelback,3.0,97.0
188,Another Dumb Blonde,Hoku,14.0,27.0
190,Another Way To Die,"Jack White, Alicia Keys",2.0,81.0
191,Antidote,Travis Scott,26.0,16.0
192,Any Ol' Barstool,Jason Aldean,18.0,52.0
193,Anything But Mine,Kenny Chesney,20.0,48.0
194,Anything Could Happen,Ellie Goulding,20.0,47.0
195,Anything Goes,Florida Georgia Line,18.0,55.0
196,Anything Like Me,Brad Paisley,19.0,48.0
197,Anyway,Martina Mcbride,16.0,32.0
198,Anywhere,112,25.0,15.0
199,Anywhere With You,Jake Owen,20.0,46.0
200,Apeshit,The Carters,15.0,13.0
201,Apparently,J. Cole,16.0,58.0
202,Applause,Lady Gaga,23.0,4.0
203,Are You Gonna Be My Girl,Jet,25.0,29.0
204,Are You Gonna Kiss Me Or Not,Thompson Square,20.0,32.0
205,Are You Happy Now?,Michelle Branch,20.0,16.0
206,Arms,Christina Perri,2.0,94.0
207,As Good As I Once Was,Toby Keith,20.0,28.0
208,As We Lay,Kelly Price,8.0,64.0
209,Asap,T.I.,8.0,75.0
211,Ass Like That,Eminem,7.0,60.0
213,At The Club,"Jacquees, Dej Loaf",7.0,86.0
214,Atm,J. Cole,5.0,6.0
215,Attention,Charlie Puth,40.0,5.0
216,Attention,The Weeknd,2.0,67.0
217,Austin,Blake Shelton,20.0,18.0
218,Automatic,Miranda Lambert,19.0,35.0
219,Aw Naw,Chris Young,20.0,45.0
221,Away From Me,Puddle Of Mudd,16.0,72.0
222,Away From The Sun,3 Doors Down,15.0,62.0
223,Axel F,Crazy Frog,7.0,50.0
224,Ayo,"Chris Brown, Tyga",20.0,21.0
225,B.E.D.,Jacquees,13.0,69.0
226,B.Y.O.B.,System Of A Down,20.0,27.0
227,Babel,"Mumford, Sons",5.0,60.0
228,Baby,Ashanti,22.0,15.0
229,Baby Be My Love Song,Easton Corbin,16.0,56.0
230,Baby I,Ariana Grande,3.0,21.0
231,Baby Shark,Pinkfong,20.0,32.0
232,Baby U Are,Gerald Levert,5.0,89.0
233,Babylon,David Gray,18.0,57.0
234,Back At One,Brian Mcknight,37.0,2.0
235,Back At One,Mark Wills,20.0,36.0
236,Back Here,Bbmak,31.0,13.0
238,Back Then,Mike Jones,20.0,22.0
239,Back To Back,Drake,20.0,21.0
240,Back To December,Taylor Swift,20.0,6.0
241,Back To Sleep,Chris Brown,20.0,20.0
242,Back To You,Selena Gomez,26.0,18.0
243,Backroad Song,Granger Smith,16.0,49.0
244,Backwoods,Justin Moore,13.0,69.0
245,Bad At Love,Halsey,33.0,5.0
247,Bad Blood,Taylor Swift,25.0,1.0
248,Bad Day,Daniel Powter,32.0,1.0
249,Bad Day,Fuel,20.0,64.0
250,Bad Girlfriend,Theory Of A Deadman,17.0,75.0
251,Bad Guy,Billie Eilish,13.0,2.0
252,Bad Idea,Ariana Grande,3.0,27.0
253,Bad Liar,Imagine Dragons,9.0,56.0
254,Bad Liar,Selena Gomez,14.0,20.0
255,Bad Romance,Lady Gaga,35.0,2.0
256,Bad!,Xxxtentacion,11.0,16.0
257,Bailamos,Enrique Iglesias,20.0,1.0
258,Bait A Hook,Justin Moore,10.0,63.0
259,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",31.0,3.0
260,Banjo,Rascal Flatts,17.0,51.0
261,Bank Account,21 Savage,29.0,12.0
262,Barbie Dreams,Nicki Minaj,7.0,18.0
263,Barbie Tingz,Nicki Minaj,4.0,25.0
265,Barefoot Blue Jean Night,Jake Owen,24.0,21.0
266,Bat Country,Avenged Sevenfold,15.0,60.0
267,Battle Scars,"Lupe Fiasco, Guy Sebastian",20.0,71.0
268,Battlefield,Jordin Sparks,22.0,10.0
269,Be Alright,Dean Lewis,29.0,23.0
270,Be Careful,Cardi B,20.0,11.0
271,Be Good To Me,Ashley Tisdale,2.0,80.0
272,Be Like That,3 Doors Down,21.0,24.0
273,Be My Escape,Relient K,4.0,82.0
275,Be With You,Enrique Iglesias,20.0,1.0
276,Be Yourself,Audioslave,18.0,32.0
277,Beachin',Jake Owen,20.0,26.0
278,Beat Of The Music,Brett Eldredge,20.0,44.0
279,Beat This Summer,Brad Paisley,20.0,46.0
280,Beautiful,Bazzi,27.0,26.0
281,Beautiful,Christina Aguilera,27.0,2.0
282,Beautiful,Eminem,6.0,17.0
283,Beautiful Crazy,Luke Combs,31.0,21.0
284,Beautiful Day,U2,25.0,21.0
285,Beautiful Drug,Zac Brown Band,20.0,52.0
286,Beautiful Girls,Sean Kingston,22.0,1.0
287,Beautiful Mess,Diamond Rio,20.0,28.0
288,Beautiful Soul,Jesse Mccartney,20.0,16.0
289,Beautiful Stranger,Madonna,19.0,19.0
290,Beautiful Trauma,P!Nk,15.0,78.0
291,Beauty,Dru Hill,12.0,79.0
293,Because I Got High,Afroman,10.0,13.0
294,Because Of You,Kelly Clarkson,37.0,7.0
295,Because You Love Me,Jo Dee Messina,13.0,53.0
296,Bed,J. Holiday,23.0,5.0
298,Beer In Mexico,Kenny Chesney,17.0,61.0
299,Beer Money,Kip Moore,20.0,51.0
300,Beer Never Broke My Heart,Luke Combs,8.0,22.0
301,Beers Ago,Toby Keith,15.0,52.0
302,Before He Cheats,Carrie Underwood,64.0,8.0
303,Beggin',Madcon,10.0,79.0
304,Begin Again,Taylor Swift,20.0,7.0
305,Behind Blue Eyes,Limp Bizkit,11.0,71.0
306,Behind These Hazel Eyes,Kelly Clarkson,34.0,6.0
307,Believe,"Brooks, Dunn",20.0,60.0
308,Believe,Cher,31.0,1.0
309,Believe,"Mumford, Sons",15.0,31.0
310,Believe,Staind,3.0,83.0
311,Believer,Imagine Dragons,52.0,4.0
312,Bent,Matchbox Twenty,39.0,1.0
313,Berzerk,Eminem,20.0,3.0
314,Best Day Of My Life,American Authors,36.0,11.0
315,Best Days Of Your Life,Kellie Pickler,20.0,46.0
316,Best Friend,Young Thug,20.0,45.0
317,Best I Ever Had,Drake,24.0,2.0
318,Best I Ever Had,Gary Allan,18.0,51.0
319,Best I Ever Had,Gavin Degraw,5.0,75.0
320,Best Of Intentions,Travis Tritt,22.0,27.0
321,Best Of You,Foo Fighters,21.0,18.0
322,Best Shot,Jimmie Allen,20.0,37.0
323,Best Song Ever,One Direction,21.0,2.0
324,Betcha Can'T Do It Like Me,D4L,8.0,72.0
325,Betrayed,Lil Xan,20.0,64.0
326,Better,Khalid,41.0,8.0
327,Better As A Memory,Kenny Chesney,17.0,46.0
328,Better Dig Two,The Band Perry,20.0,28.0
329,Better In Time,Leona Lewis,31.0,11.0
330,Better Life,Keith Urban,20.0,44.0
331,Better Man,Little Big Town,20.0,34.0
332,Better Now,Post Malone,52.0,3.0
333,Better Than I Used To Be,Tim Mcgraw,20.0,52.0
334,Better Than Me,Hinder,20.0,31.0
336,Beverly Hills,Weezer,43.0,10.0
337,Bickenhead,Cardi B,2.0,43.0
338,Big Green Tractor,Jason Aldean,20.0,18.0
340,Big Ole Freak,Megan Thee Stallion,12.0,65.0
341,Big Rings,"Drake, Future",20.0,52.0
342,Big Star,Kenny Chesney,20.0,28.0
343,Bigger Than My Body,John Mayer,20.0,33.0
345,Billie Jean,Michael Jackson,25.0,1.0
346,Bills,Lunchmoney Lewis,6.0,79.0
347,Billy,6Ix9Ine,8.0,50.0
348,Birthday,Katy Perry,18.0,17.0
349,Birthday Cake,Rihanna,20.0,24.0
350,Birthday Sex,Jeremih,20.0,4.0
351,Black,Dierks Bentley,19.0,56.0
352,Black And Yellow,Wiz Khalifa,25.0,1.0
353,Black Magic,Little Mix,8.0,67.0
354,Black Skinhead,Kanye West,4.0,69.0
355,Blackout,Breathe Carolina,20.0,32.0
356,Blame It On Me,Post Malone,2.0,47.0
358,Blank Space,Taylor Swift,36.0,1.0
359,Bleed It Out,Linkin Park,20.0,52.0
360,Bleeding Love,Leona Lewis,39.0,1.0
361,Blem,Drake,4.0,38.0
362,Bless The Broken Road,Rascal Flatts,20.0,29.0
363,Blood On The Leaves,Kanye West,2.0,89.0
365,Bloodline,Ariana Grande,3.0,22.0
367,Blown Away,Carrie Underwood,22.0,20.0
368,Blue Ain'T Your Color,Keith Urban,21.0,24.0
372,Blue Orchid,The White Stripes,7.0,43.0
373,Blue Tacoma,Russell Dickerson,19.0,52.0
374,Blue Tint,Drake,3.0,30.0
375,Blunt Blowin,Lil Wayne,6.0,33.0
376,Blurry,Puddle Of Mudd,38.0,5.0
377,Bobby Bitch,Bobby Shmurda,3.0,92.0
378,Bodak Yellow,Cardi B,35.0,1.0
380,Body Language,Jesse Mccartney,15.0,35.0
381,Body Like A Back Road,Sam Hunt,41.0,6.0
382,Body Party,Ciara,20.0,22.0
385,Bohemian Rhapsody,Queen,44.0,2.0
387,Bonfire,Craig Morgan,14.0,57.0
388,Boo'D Up,Ella Mai,35.0,5.0
389,Boom Clap,Charli Xcx,25.0,8.0
390,Boondocks,Little Big Town,20.0,46.0
391,Boots On,Randy Houser,19.0,53.0
392,Booty,Blac Youngsta,5.0,73.0
393,Born This Way,Lady Gaga,20.0,1.0
394,Born To Be Yours,"Kygo, Imagine Dragons",2.0,74.0
395,Born To Fly,Sara Evans,20.0,34.0
396,Boston,Augustana,24.0,34.0
