,Name,Artist,Weeks.on.chart,Peak.position
0,...Ready For It?,Taylor Swift,20,4
1,0 To 100 / The Catch Up,Drake,20,35
2,1 Thing,Amerie,20,8
4,10 Bands,Drake,13,58
6,100 Years,Five For Fighting,22,28
7,1234,Feist,15,8
9,1901,Phoenix,13,84
10,1973,James Blunt,3,73
11,1985,Bowling For Soup,20,23
12,1994,Jason Aldean,11,52
13,1999,Prince,30,12
14,2 Phones,Kevin Gates,25,17
15,2 Step,Unk,21,24
16,21 Guns,Green Day,20,22
17,22,Taylor Swift,20,20
18,24'S,T.I.,15,78
19,24/7,Kevon Edmonds,20,10
20,24K Magic,Bruno Mars,41,4
22,3,Britney Spears,20,1
24,30 For 30 Freestyle,Drake,2,88
26,4 In The Morning,Gwen Stefani,16,54
27,44 More,Logic,5,22
28,50 Ways To Say Goodbye,Train,20,20
31,7 Days,Craig David,20,10
32,7 Rings,Ariana Grande,23,1
33,7 Years,Lukas Graham,36,2
35,8 Out Of 10,Drake,3,21
36,808,Blaque,20,8
37,80S Mercedes,Maren Morris,13,74
38,8Th Of November,"Big, Rich",2,94
39,9,Drake,5,45
40,92 Explorer,Post Malone,3,40
41,A Bay Bay,Hurricane Chris,20,7
42,A Different World,Bucky Covington,20,58
44,A Guy Walks Into A Bar,Tyler Farr,20,51
47,A Little Bit Stronger,Sara Evans,21,34
48,A Little More Country Than That,Easton Corbin,20,42
49,A Little More Summertime,Jason Aldean,13,52
50,A Little Too Late,Toby Keith,15,53
52,A Long Walk,Jill Scott,19,43
53,A Lot,21 Savage,23,12
54,A Lot Of Things Different,Kenny Chesney,15,55
56,A Milli,Lil Wayne,23,6
58,A Moment Like This,Kelly Clarkson,20,1
59,A Night To Remember,Joe Diffie,20,38
60,A Public Affair,Jessica Simpson,12,14
61,A Real Fine Place To Start,Sara Evans,20,38
62,A Sky Full Of Stars,Coldplay,26,10
63,A Thousand Miles,Vanessa Carlton,41,5
64,A Thousand Years,Christina Perri,26,31
65,A Woman Like You,Lee Brice,20,33
66,A Woman'S Worth,Alicia Keys,20,7
67,A Year Without Rain,"Selena Gomez, The Scene",8,35
69,About You Now,Miranda Cosgrove,4,47
70,Acapella,Karmin,8,72
71,Accidentally In Love,Counting Crows,20,39
72,According To You,Orianthi,21,17
73,Acquainted,The Weeknd,18,60
74,Act A Fool,Ludacris,11,32
75,Act Up,City Girls,17,26
76,Addicted,Saving Abel,34,20
77,Addicted,Simple Plan,19,45
78,Adorn,Miguel,33,17
79,Adventure Of A Lifetime,Coldplay,20,13
80,Aerials,System Of A Down,20,55
82,Africa,Weezer,15,51
83,After Party,Koffee Brown,20,44
84,Again,Fetty Wap,26,33
85,Again,Lenny Kravitz,32,4
86,Ain'T Back Yet,Kenny Chesney,13,50
87,Ain'T It Fun,Paramore,24,10
88,Ain'T It Funny,Jennifer Lopez,27,1
89,Ain'T My Fault,Zara Larsson,7,76
90,Ain'T No Other Man,Christina Aguilera,20,6
91,Ain'T No Rest For The Wicked,Cage The Elephant,11,83
92,Ain'T Nothing 'Bout You,"Brooks, Dunn",20,25
93,Ain'T Worried About Nothin,French Montana,13,63
94,Ain'T Worth The Whiskey,Cole Swindell,19,43
95,Ain'T Your Mama,Jennifer Lopez,2,76
96,Alcohol,Brad Paisley,18,28
97,Alejandro,Lady Gaga,23,5
98,Alive,Krewella,20,32
99,Alive,Sia,3,56
100,All About That Bass,Meghan Trainor,47,1
101,All About Tonight,Blake Shelton,19,37
102,All Around Me,Flyleaf,20,40
103,All Girls Are The Same,Juice Wrld,20,41
104,All Gold Everything,Trinidad James,20,36
106,All I Want For Christmas Is You,Mariah Carey,30,3
107,All I Want To Do,Sugarland,16,18
108,All Jacked Up,Gretchen Wilson,11,42
109,All Mine,Kanye West,9,11
110,All My Friends,21 Savage,2,67
111,All My Friends Say,Luke Bryan,13,59
112,All My Life,Foo Fighters,20,43
113,All Of Me,John Legend,59,1
114,All Of The Lights,Kanye West,25,18
115,All On Me,Devin Dawson,20,52
117,All Over The Road,Easton Corbin,20,51
118,All Star,Smash Mouth,30,4
119,All Summer Long,Kid Rock,20,23
120,All That I Can Say,Mary J. Blige,14,44
121,All That Matters,Justin Bieber,8,24
122,All The Good Girls Go To Hell,Billie Eilish,2,46
123,All The Pretty Girls,Kenny Chesney,14,63
124,All The Right Moves,Onerepublic,34,18
125,All The Things She Said,T.A.T.U.,20,20
127,All These Things That I'Ve Done,The Killers,14,74
128,All Things Considered,Yankee Grey,20,55
129,All Time Low,Jon Bellion,22,16
130,All To Myself,Dan + Shay,8,66
132,All You Wanted,Michelle Branch,28,6
133,All Your Life,The Band Perry,23,37
134,Almost,Bowling For Soup,20,46
135,Almost Doesn'T Count,Brandy,20,16
136,Almost Home,Craig Morgan,14,59
137,Almost Is Never Enough,"Ariana Grande, Nathan Sykes",2,82
138,Alone,Halsey,14,66
139,Alone,Marshmello,11,28
140,Alone Together,Fall Out Boy,8,71
141,Alone With You,Jake Owen,20,41
142,Already Callin' You Mine,Parmalee,3,91
143,Already Gone,Kelly Clarkson,31,13
144,Already Gone,Sugarland,19,41
145,Alright,Darius Rucker,20,30
146,Alright,Kendrick Lamar,14,81
147,Always,Saliva,20,51
148,Always Remember Us This Way,Lady Gaga,9,41
149,Always The Love Songs,Eli Young Band,11,69
150,Alyssa Lies,Jason Michael Carroll,12,64
151,Am I The Only One,Dierks Bentley,20,39
152,Am I Wrong,"Nico, Vinz",31,4
153,Am To Pm,Christina Milian,20,27
154,Amarillo Sky,Jason Aldean,20,59
155,Amazed,Lonestar,55,1
156,Amazing,Josh Kelley,20,79
158,American Baby,Dave Matthews Band,11,16
159,American Country Love Song,Jake Owen,17,55
160,American Girl,Bonnie Mckee,6,87
161,American Idiot,Green Day,20,61
162,American Kids,Kenny Chesney,20,23
163,American Oxygen,Rihanna,4,78
164,American Pie,Madonna,9,29
165,American Ride,Toby Keith,16,35
166,American Saturday Night,Brad Paisley,15,67
167,American Soldier,Toby Keith,20,28
168,American Woman,Lenny Kravitz,21,49
169,Amnesia,5 Seconds Of Summer,20,16
172,Anaconda,Nicki Minaj,22,2
174,And I Am Telling You I'M Not Going,Jennifer Hudson,13,60
175,Angel,Akon,10,56
176,Angel,Amanda Perez,20,20
177,Angel Eyes,Love And Theft,20,32
178,Angel In Blue Jeans,Train,3,79
179,Angelito,Don Omar,4,93
180,Angels,Robbie Williams,19,53
181,Angels On The Moon,Thriving Ivory,9,75
182,Angry All The Time,Tim Mcgraw,20,38
183,Animal,Neon Trees,36,13
184,Animal I Have Become,Three Days Grace,20,60
185,Animals,Maroon 5,33,3
186,Animals,Martin Garrix,34,21
187,Animals,Nickelback,3,97
188,Another Dumb Blonde,Hoku,14,27
190,Another Way To Die,"Jack White, Alicia Keys",2,81
191,Antidote,Travis Scott,26,16
192,Any Ol' Barstool,Jason Aldean,18,52
193,Anything But Mine,Kenny Chesney,20,48
194,Anything Could Happen,Ellie Goulding,20,47
195,Anything Goes,Florida Georgia Line,18,55
196,Anything Like Me,Brad Paisley,19,48
197,Anyway,Martina Mcbride,16,32
198,Anywhere,112,25,15
199,Anywhere With You,Jake Owen,20,46
200,Apeshit,The Carters,15,13
201,Apparently,J. Cole,16,58
202,Applause,Lady Gaga,23,4
203,Are You Gonna Be My Girl,Jet,25,29
204,Are You Gonna Kiss Me Or Not,Thompson Square,20,32
205,Are You Happy Now?,Michelle Branch,20,16
206,Arms,Christina Perri,2,94
207,As Good As I Once Was,Toby Keith,20,28
208,As We Lay,Kelly Price,8,64
209,Asap,T.I.,8,75
211,Ass Like That,Eminem,7,60
213,At The Club,"Jacquees, Dej Loaf",7,86
214,Atm,J. Cole,5,6
215,Attention,Charlie Puth,40,5
216,Attention,The Weeknd,2,67
217,Austin,Blake Shelton,20,18
218,Automatic,Miranda Lambert,19,35
219,Aw Naw,Chris Young,20,45
221,Away From Me,Puddle Of Mudd,16,72
222,Away From The Sun,3 Doors Down,15,62
223,Axel F,Crazy Frog,7,50
224,Ayo,"Chris Brown, Tyga",20,21
225,B.E.D.,Jacquees,13,69
226,B.Y.O.B.,System Of A Down,20,27
227,Babel,"Mumford, Sons",5,60
228,Baby,Ashanti,22,15
229,Baby Be My Love Song,Easton Corbin,16,56
230,Baby I,Ariana Grande,3,21
231,Baby Shark,Pinkfong,20,32
232,Baby U Are,Gerald Levert,5,89
233,Babylon,David Gray,18,57
234,Back At One,Brian Mcknight,37,2
235,Back At One,Mark Wills,20,36
236,Back Here,Bbmak,31,13
238,Back Then,Mike Jones,20,22
239,Back To Back,Drake,20,21
240,Back To December,Taylor Swift,20,6
241,Back To Sleep,Chris Brown,20,20
242,Back To You,Selena Gomez,26,18
243,Backroad Song,Granger Smith,16,49
244,Backwoods,Justin Moore,13,69
245,Bad At Love,Halsey,33,5
247,Bad Blood,Taylor Swift,25,1
248,Bad Day,Daniel Powter,32,1
249,Bad Day,Fuel,20,64
250,Bad Girlfriend,Theory Of A Deadman,17,75
251,Bad Guy,Billie Eilish,13,2
252,Bad Idea,Ariana Grande,3,27
253,Bad Liar,Imagine Dragons,9,56
254,Bad Liar,Selena Gomez,14,20
255,Bad Romance,Lady Gaga,35,2
256,Bad!,Xxxtentacion,11,16
257,Bailamos,Enrique Iglesias,20,1
258,Bait A Hook,Justin Moore,10,63
259,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",31,3
260,Banjo,Rascal Flatts,17,51
261,Bank Account,21 Savage,29,12
262,Barbie Dreams,Nicki Minaj,7,18
263,Barbie Tingz,Nicki Minaj,4,25
265,Barefoot Blue Jean Night,Jake Owen,24,21
266,Bat Country,Avenged Sevenfold,15,60
