,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year
0,...Ready For It?,Taylor Swift,0.0527,0.613,208187,0.764,0,0,2,0.197,1.014858611,1,0.136,160.015,0.417,2017
1,0 To 100 / The Catch Up,Drake,0.737,0.559,275227,0.716,1,0,11,0.252,1.015565556,0,0.39,176.618,0.504,2013
2,1 Thing,Amerie,0.107,0.612,238760,0.961,0,4.17E-05,10,0.0413,1.015811667,0,0.333,129.873,0.867,2005
3,1.5,21 Savage,0.000244,0.885,148656,0.52,1,1.16E-06,1,0.454,1.014346389,1,0.359,84.022,0.306,2018
4,10 Bands,Drake,0.265,0.825,177733,0.756,1,2.15E-06,11,0.0762,1.0156425,0,0.383,172.938,0.888,2015
5,100 Grandkids,Mac Miller,0.371,0.735,278507,0.749,1,0,10,0.47,1.015620556,0,0.0874,93.718,0.373,2015
6,100 Years,Five For Fighting,0.551,0.640666667,244457.6667,0.565666667,0,1.75E-05,7,0.151033333,1.014595185,1,0.027533333,120.5003333,0.279333333,1997
7,1234,Feist,0.217,0.71,183667,0.484,0,3.93E-06,2,0.0879,1.014606944,1,0.049,109.951,0.576,2007
8,18,One Direction,0.22,0.681,248360,0.582,0,0,6,0.119,1.014511111,0,0.0313,124.038,0.221,2014
9,1901,Phoenix,0.0605,0.591,193107,0.831,0,4.67E-05,0,0.19,1.015098056,1,0.0415,144.084,0.705,2009
10,1973,James Blunt,0.0652,0.72,280027,0.668,0,0.00664,9,0.0789,1.014464444,1,0.0269,123.007,0.768,2007
11,1985,Bowling For Soup,0.000242,0.606,193000,0.887,0,0,4,0.337,1.015443333,1,0.0598,119.974,0.903,2004
12,1994,Jason Aldean,0.183,0.598,242680,0.777,0,0,11,0.111,1.014812222,0,0.0396,159.942,0.821,2012
13,1999,Prince,0.137,0.866,379267,0.73,0,0,5,0.0843,1.014388611,1,0.0767,118.523,0.625,1982
14,2 Phones,Kevin Gates,0.157,0.895,240000,0.681,1,0,7,0.189,1.015203611,0,0.358,121.918,0.554,2016
15,2 Step,Unk,0.0583,0.763,195787,0.797,1,0,11,0.299,1.016035,0,0.0977,77.003,0.645,2006
16,21 Guns,Green Day,0.0518,0.268,321093,0.742,0,0,5,0.626,1.015294722,1,0.0355,159.779,0.416,2009
17,22,Taylor Swift,0.00215,0.659,230795.3333,0.729,0,0.0013,7,0.066033333,1.014844167,1,0.037733333,104.0003333,0.668,2012
18,24'S,T.I.,0.227,0.679,261507,0.768,0,0,6,0.355,1.015559722,1,0.136,162.02,0.735,2003
19,24/7,Kevon Edmonds,0.0685,0.696,274267,0.627,0,0,4,0.0993,1.015103056,1,0.0334,116.047,0.322,1999
20,24K Magic,Bruno Mars,0.034,0.818,225983,0.803,0,0,1,0.153,1.015477222,1,0.0797,106.97,0.632,2016
21,25 To Life,Eminem,0.239,0.701,241587,0.931,1,0,8,0.194,1.016404167,0,0.243,79.996,0.362,2010
22,3,Britney Spears,0.0452,0.697,213173,0.709,0,0,5,0.138,1.016134167,0,0.0455,134.91,0.787,2009
23,3 Peat,Lil Wayne,0.00117,0.673,199427,0.66,1,0,7.5,0.07685,1.014633472,1,0.3655,116.5305,0.464,2008
24,30 For 30 Freestyle,Drake,0.671,0.744,253935,0.619,1,0,4,0.123,1.014126944,0,0.398,89.252,0.317,2015
25,365,"Zedd, Katy Perry",0.339,0.745,181900,0.693,0,0,2,0.123,1.015144722,0,0.034,98.039,0.248,2019
26,4 In The Morning,Gwen Stefani,0.2,0.698,291107,0.826,0,0.00013,10,0.114,1.0149275,1,0.031,92.409,0.502,2006
27,44 More,Logic,0.0718,0.824,188600,0.584,1,0,10,0.106,1.014695,0,0.221,139.965,0.219,2018
28,50 Ways To Say Goodbye,Train,0.000284,0.591,247947,0.935,0,0.000278,6,0.142,1.015926667,1,0.0478,140.043,0.736,2012
29,6 God,Drake,0.0249,0.868,180667,0.623,1,0,2,0.125,1.014279167,1,0.101,105.446,0.498,2015
30,6 Man,Drake,0.217,0.568,167653,0.535,1,0,4,0.114,1.014081667,1,0.513,83.589,0.326,2015
31,7 Days,Craig David,0.2455,0.6515,236253,0.8275,0,0,4,0.0949,1.0147575,0,0.04995,83.0185,0.885,2000
32,7 Rings,Ariana Grande,0.592,0.778,178627,0.317,1,0,1,0.0881,1.013685556,0,0.334,140.048,0.327,2019
33,7 Years,Lukas Graham,0.287,0.765,237300,0.473,0,0,10,0.391,1.0150475,1,0.0514,119.992,0.34,2016
34,8,Billie Eilish,0.698,0.735,173202,0.235,0,0.00604,3,0.107,1.012989167,1,0.315,62.446,0.462,2019
35,8 Out Of 10,Drake,0.161,0.527,195720,0.689,1,0,2,0.498,1.014480556,1,0.741,170.538,0.31,2018
36,808,Blaque,0.00328,0.867,306693,0.42,0,3.18E-06,1,0.0887,1.014033889,1,0.167,121.66,0.367,1999
37,80S Mercedes,Maren Morris,0.0665,0.485,211767,0.834,0,0,9,0.28,1.015163056,1,0.0715,90.933,0.659,2017
38,8Th Of November,"Big, Rich",0.117,0.259,298240,0.729,0,0,2,0.438,1.015926389,1,0.0418,169.11,0.284,2005
39,9,Drake,0.000803,0.68,255787,0.712,1,0.000612,10,0.237,1.014671111,1,0.0453,100.009,0.0379,2016
40,92 Explorer,Post Malone,0.265,0.798,211427,0.733,1,1.25E-06,7,0.114,1.015330278,0,0.0476,146.046,0.861,2018
41,A Bay Bay,Hurricane Chris,0.105,0.577,257120,0.668,0,0,6,0.0924,1.01531,1,0.514,60.709,0.702,2007
42,A Different World,Bucky Covington,0.0327,0.62,208573,0.686,0,0,9,0.101,1.015270278,1,0.0276,128.962,0.464,2007
43,A Girl Like You,Easton Corbin,0.0197,0.735,217840,0.768,0,0,5,0.0643,1.015421944,1,0.0353,104.991,0.83,2017
44,A Guy Walks Into A Bar,Tyler Farr,0.083,0.428,196000,0.78,0,0,0,0.115,1.015702222,1,0.0373,147.986,0.431,2015
45,A Light That Never Comes,"Linkin Park, Steve Aoki",0.00225,0.687,229439,0.871,0,0.00708,0,0.134,1.015130278,1,0.0689,115,0.539,2013
46,A Little Bit Longer,Jonas Brothers,0.0228,0.302,205013,0.619,0,0,0,0.231,1.01533,1,0.0331,156.359,0.291,2008
47,A Little Bit Stronger,Sara Evans,0.282,0.536,301987,0.65,0,1.16E-06,2,0.0876,1.015110278,1,0.0337,147.93,0.288,2011
48,A Little More Country Than That,Easton Corbin,0.0795,0.64,172227,0.6,0,1.50E-06,11,0.106,1.014296111,1,0.0318,84.969,0.593,2010
49,A Little More Summertime,Jason Aldean,0.0386,0.482,219547,0.823,0,3.69E-05,9,0.0948,1.015431667,1,0.0661,167.665,0.451,2016
50,A Little Too Late,Toby Keith,0.175,0.635,248040,0.749,0,3.71E-05,11,0.139,1.015051389,1,0.0294,100.95,0.628,2008
51,A Little Too Much,Shawn Mendes,0.473,0.451,187027,0.507,0,0,11,0.108,1.014933333,1,0.0316,165.76,0.564,2015
52,A Long Walk,Jill Scott,0.0617,0.713,280973,0.541,0,0.000137,6,0.112,1.014084722,0,0.248,75.714,0.28,2000
