,GrammyAward,GrammyYear,Genre,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0,Record Of The Year,2018,General,This Is America,Childish Gambino,0.11699999999999999,0.8540000000000001,225773.0,0.46299999999999997,1,0.0,5.0,0.354,0.89735,1,75,0.13699999999999998,120.024,0.5489999999999999,2018
1,Song Of The Year,2018,General,This Is America,Childish Gambino,0.11699999999999999,0.8540000000000001,225773.0,0.46299999999999997,1,0.0,5.0,0.354,0.89735,1,75,0.13699999999999998,120.024,0.5489999999999999,2018
2,Best Rap/Sung Performance,2018,Rap,This Is America,Childish Gambino,0.11699999999999999,0.8540000000000001,225773.0,0.46299999999999997,1,0.0,5.0,0.354,0.89735,1,75,0.13699999999999998,120.024,0.5489999999999999,2018
3,Best Pop Duo/Group Performance,2018,Pop,Shallow,"Lady Gaga, Bradley Cooper",0.371,0.5720000000000001,215733.0,0.385,0,0.0,7.0,0.231,0.8939666666666667,1,85,0.0308,95.79899999999999,0.32299999999999995,2018
4,Best Song Written For Visual Media,2018,Composing/Arranging,Shallow,"Lady Gaga, Bradley Cooper",0.371,0.5720000000000001,215733.0,0.385,0,0.0,7.0,0.231,0.8939666666666667,1,85,0.0308,95.79899999999999,0.32299999999999995,2018
5,Best R&B Song,2018,R&B,Boo'D Up,Ella Mai,0.1221,0.47900000000000004,247702.5,0.8109999999999999,0,0.0,10.0,0.0812,0.9263916666666667,0,133,0.0759,81.583,0.22749999999999998,2017
6,Best Rap Song,2018,Rap,God'S Plan,Drake,0.0332,0.754,198973.0,0.449,1,8.290000000000001e-05,7.0,0.552,0.8464833333333334,1,83,0.109,77.169,0.35700000000000004,2018
7,Best Country Solo Performance,2018,Country,Butterflies,Kacey Musgraves,0.252,0.6890000000000001,219053.0,0.614,0,1.95e-05,4.0,0.17800000000000002,0.8977166666666667,0,70,0.0306,141.97,0.41100000000000003,2018
8,Best Country Song,2018,Country,Space Cowboy,Kacey Musgraves,0.718,0.447,216280.0,0.429,0,0.0163,1.0,0.105,0.8773333333333333,1,63,0.027999999999999997,116.521,0.07400000000000001,2018
9,Best American Roots Performance,2018,American Roots Music,The Joke,Brandi Carlile,0.327,0.23600000000000002,279373.0,0.578,0,0.00015,7.0,0.20600000000000002,0.9087166666666666,1,59,0.0404,75.367,0.22699999999999998,2018
