,Name,Artist,Weeks.on.chart,Peak.position
0,(Don'T Fear) The Reaper,Blue Oyster Cult,14,12
1,(I Can'T Get No) Satisfaction,The Rolling Stones,14,1
2,(Sittin' On) The Dock Of The Bay,Otis Redding,16,1
3,(We'Re Gonna) Rock Around The Clock,"Bill Haley, His Comets",24,1
4,"(What'S So Funny 'Bout) Peace, Love And Understanding","Elvis Costello, The Attractions",,
5,(White Man) In Hammersmith Palais,The Clash,,
6,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,12,6
7,1999,Prince,27,12
8,96 Tears,"?, The Mysterians",15,1
9,99 Problems,Jay-Z,12,30
10,A Change Is Gonna Come,Sam Cooke,7,31
11,A Day In The Life,The Beatles,,
12,A Hard Days Night,The Beatles,13,1
13,Ain'T It A Shame,Fats Domino,13,10
14,Ain'T No Sunshine,Bill Withers,16,3
15,Alison,Elvis Costello,,
16,All Along The Watchtower,Jimi Hendrix,9,20
17,All Apologies,Nirvana,22,45
18,All Shook Up,Elvis Presley,30,1
19,All The Young Dudes,Mott The Hoople,11,37
20,All You Need Is Love,The Beatles,11,1
21,Alone Again Or,Love,3,99
22,American Idiot,Green Day,20,61
23,Anarchy In The U.K.,The Sex Pistols,,
24,"Another Brick In The Wall, Pt. 2",Pink Floyd,25,1
25,Baba O'Riley,The Who,,
26,Baby I Need Your Loving,The Four Tops,12,11
27,Baby Love,The Supremes,13,1
28,Back In Black,Ac/Dc,15,37
29,Bad Moon Rising,Creedence Clearwater Revival,14,2
30,Be My Baby,The Ronettes,13,2
31,Beast Of Burden,The Rolling Stones,13,8
32,Beat It,Michael Jackson,25,1
33,Beautiful Day,U2,25,1
34,Big Pimpin',"Jay-Z, Ugk",20,18
35,Billie Jean,Michael Jackson,7,1
36,Bitter Sweet Symphony,The Verve,20,12
37,Bizarre Love Triangle,New Order,2,98
38,Black Dog,Led Zeppelin,12,15
39,Blitzkrieg Bop,Ramones,,
40,Blowin' In The Wind,Bob Dylan,,
41,Blue Eyes Crying In The Rain,Willie Nelson,18,21
42,Blue Suede Shoes,Carl Perkins,21,2
43,Blue Suede Shoes,Elvis Presley,12,20
44,Blueberry Hill,Fats Domino,27,2
45,Bo Diddley,Bo Diddley,,
46,Bohemian Rhapsody,Queen,24,9
47,Boom Boom,John Lee Hooker,10,60
48,Born In The U.S.A.,Bruce Springsteen,17,9
49,Born To Run,Bruce Springsteen,11,23
50,Both Sides Now,Joni Mitchell,,
51,Bridge Over Troubled Water,"Simon, Garfunkel",14,1
52,Bring The Noise,Public Enemy,,
53,Brown Eyed Handsome Man,Chuck Berry,,
54,Brown Sugar,The Rolling Stones,12,1
55,Buddy Holly,Weezer,21,18
56,Bye Bye Love,The Everly Brothers,27,2
57,C'Mon Everybody,Eddie Cochran,12,35
58,California Dreamin',"The Mamas, The Papas",17,4
59,California Girls,The Beach Boys,11,3
60,California Love,"2Pac, Roger, Dr. Dre",24,6
61,Call Me,Blondie,25,1
62,Can'T Buy Me Love,The Beatles,10,1
63,Can'T Help Falling In Love,Elvis Presley,14,1
64,Can'T Help Myself,The Four Tops,14,1
65,Candle In The Wind,Elton John,,
66,Caroline,The Beach Boys,7,32
67,Chain Of Fools,Aretha Franklin,12,2
68,Chapel Of Love,The Dixie Cups,13,1
69,Clocks,Coldplay,22,29
70,Come As You Are,Nirvana,18,32
71,Come Go With Me,The Del-Vikings,31,5
72,Come Together,The Beatles,16,1
73,Comfortably Numb,Pink Floyd,,
74,Complete Control,The Clash,,
75,Cortez The Killer,Neil Young,,
76,Crazy,Gnarls Barkley,24,2
77,Crazy,Patsy Cline,11,9
78,Cry Me A River,Justin Timberlake,20,3
79,Crying,Roy Orbison,16,2
80,Cupid,Sam Cooke,17,12
81,Dance To The Music,"Sly, Thefamily Stone",15,8
82,Dancing Barefoot,Patti Smith Group,,
83,Dancing In The Street,"Martha Reeves, The Vandellas",14,2
84,Dancing Queen,Abba,22,1
85,Desolation Row,Bob Dylan,,
