,Name,Artist,Weeks.on.chart,Peak.position
0,1999,Prince,28.5,12.0
1,American Idiot,Green Day,20.0,61.0
2,Beautiful Day,U2,25.0,11.0
3,Billie Jean,Michael Jackson,16.0,1.0
4,Bohemian Rhapsody,Queen,34.0,5.5
5,Clocks,Coldplay,22.0,29.0
6,Crazy,Gnarls Barkley,26.5,2.0
7,Cry Me A River,Justin Timberlake,20.0,3.0
8,Hey Ya!,Outkast,32.0,1.0
9,In Da Club,50 Cent,30.0,1.0
10,Jesus Walks,Kanye West,25.0,11.0
11,Maps,Yeah Yeah Yeahs,13.0,87.0
12,One More Time,Daft Punk,16.0,61.0
13,Paper Planes,M.I.A.,20.5,4.0
14,Rehab,Amy Winehouse,20.0,9.0
15,Seven Nation Army,The White Stripes,20.0,76.0
16,Since U Been Gone,Kelly Clarkson,46.0,2.0
17,Take Me Out,Franz Ferdinand,19.0,66.0
18,The Rising,Bruce Springsteen,11.0,52.0
19,When Doves Cry,Prince,22.0,1.0
