,Name,Artist,Weeks.on.chart,Peak.position,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year
0,1999,Prince,27.0,12.0,0.13699999999999998,0.866,379267.0,0.73,0,0.0,5.0,0.0843,0.8633166666666666,1,0.0767,118.523,0.625,1982
1,American Idiot,Green Day,20.0,61.0,2.5849999999999998e-05,0.38049999999999984,175333.0,0.9860000000000003,1,7.385000000000002e-05,1.0,0.319,0.9628166666666667,1,0.06384999999999998,186.0969999999999,0.7895000000000002,2004
2,Beautiful Day,U2,25.0,1.0,0.018249999999999992,0.5395000000000002,245633.5,0.9194999999999997,0,0.0014650000000000004,2.0,0.3520000000000001,0.8884833333333333,1,0.049100000000000005,136.27199999999996,0.4529999999999999,2000
3,Billie Jean,Michael Jackson,7.0,1.0,0.019233333333333335,0.924,294018.0,0.5633333333333334,0,0.03746666666666667,11.0,0.039733333333333336,0.8989555555555555,0,0.0452,117.044,0.8563333333333333,1982
4,Bohemian Rhapsody,Queen,24.0,9.0,0.23749999999999996,0.39399999999999996,355120.0,0.3455000000000001,0,6.899999999999999e-07,0.0,0.2025,0.8036416666666667,0,0.04879999999999999,144.1175,0.2185,1975
5,Clocks,Coldplay,22.0,29.0,0.5990000000000001,0.5770000000000001,307880.0,0.7490000000000004,0,0.011500000000000003,5.0,0.18299999999999994,0.8797499999999999,0,0.0279,130.96999999999994,0.25499999999999995,2002
6,Crazy,Gnarls Barkley,24.0,2.0,0.017199999999999997,0.8350000000000005,182066.0,0.7409999999999998,0,0.05770000000000002,8.0,0.08260000000000003,0.9731833333333333,1,0.03390000000000001,111.96300000000005,0.612,2006
7,Cry Me A River,Justin Timberlake,20.0,3.0,0.5749999999999998,0.6240000000000001,288333.0,0.6530000000000002,0,0.0,8.0,0.10400000000000005,0.8903000000000001,0,0.17600000000000005,73.884,0.5649999999999997,2002
8,Hey Ya!,Outkast,32.0,1.0,0.10300000000000008,0.7270000000000002,235213.0,0.9740000000000001,0,0.0005319999999999999,4.0,0.17400000000000007,0.9623166666666667,0,0.0664,79.52600000000001,0.965,2003
9,In Da Club,50 Cent,30.0,1.0,0.2816666666666665,0.9033333333333327,193467.0,0.7010000000000002,1,0.0,6.0,0.07936666666666663,0.9471833333333334,0,0.34966666666666657,90.0533333333333,0.8189999999999994,2003
10,Jesus Walks,Kanye West,25.0,11.0,0.5924999999999998,0.6300000000000003,193733.0,0.8365000000000005,1,0.0,4.5,0.3049999999999999,0.921575,1,0.35700000000000004,87.29449999999999,0.702,2004
11,Maps,Yeah Yeah Yeahs,13.0,87.0,0.000346,0.5019999999999999,219987.0,0.9410000000000002,0,0.319,7.0,0.5529999999999999,0.9134333333333333,1,0.0716,119.78299999999997,0.12400000000000004,2003
12,One More Time,Daft Punk,16.0,61.0,0.0193,0.611,320357.0,0.6969999999999998,0,0.0,2.0,0.33199999999999996,0.8563666666666667,1,0.133,122.75199999999997,0.47600000000000003,2001
13,Paper Planes,M.I.A.,21.0,4.0,0.033000000000000015,0.4469999999999999,205200.0,0.8480000000000002,0,7.455000000000002e-05,2.0,0.6500000000000001,0.8970833333333333,1,0.22200000000000003,172.25,0.485,2007
14,Rehab,Amy Winehouse,20.0,9.0,0.0473,0.43400000000000005,213760.0,0.8720000000000001,0,1.8300000000000005e-06,0.0,0.39599999999999996,0.9504333333333334,1,0.07020000000000001,71.51500000000001,0.7319999999999998,2006
15,Seven Nation Army,The White Stripes,20.0,76.0,0.00817,0.7259999999999996,231733.0,0.4629999999999999,0,0.4469999999999999,0.0,0.25499999999999995,0.8695333333333333,1,0.07990000000000001,123.881,0.32099999999999995,2003
16,Since U Been Gone,Kelly Clarkson,46.0,2.0,0.00179,0.6615000000000001,188973.5,0.7504999999999997,0,0.04459999999999998,0.0,0.11500000000000012,0.9142666666666666,1,0.03340000000000003,131.0,0.41450000000000026,2004
17,Sympathy For The Devil,The Rolling Stones,20.0,76.0,0.5986666666666668,0.6193333333333333,377160.0,0.6779999999999999,0,0.0,9.0,0.047066666666666666,0.8175111111111111,1,0.24366666666666667,113.89966666666668,0.5986666666666666,1971
18,Take Me Out,Franz Ferdinand,19.0,66.0,0.00042299999999999993,0.2780000000000001,237027.0,0.676,0,0.0008990000000000003,9.0,0.13600000000000007,0.8529833333333333,1,0.03710000000000001,104.54500000000003,0.4939999999999999,2004
19,The Rising,Bruce Springsteen,11.0,52.0,0.0655,0.499,287040.0,0.761,0,0.0,10.0,0.08950000000000001,0.89365,1,0.03239999999999999,110.186,0.326,2002
20,When Doves Cry,Prince,21.0,1.0,0.0102,0.7290000000000001,352906.0,0.9890000000000001,0,4.45e-05,9.0,0.44299999999999995,0.9231166666666667,0,0.049,126.47,0.84,1984
