,Name,Artist,Weeks.on.chart,Peak.position,GrammyAward,GrammyYear,Genre,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0,99 Problems,Jay-Z,12.0,30.0,Best Rap Solo Performance,2004,Rap,0.0066099999999999996,0.494,234627.0,0.887,1,0.0,6.0,0.10300000000000001,0.9283833333333333,0,61,0.39799999999999996,89.554,0.5479999999999999,2003
1,Beautiful Day,U2,25.0,1.0,Record Of The Year,2000,General,0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000
2,Beautiful Day,U2,25.0,1.0,Best Rock Performance By A Duo Or Group With Vocal,2000,Rock,0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000
3,Clocks,Coldplay,22.0,29.0,Record Of The Year,2003,General,0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002
4,Crazy,Gnarls Barkley,24.0,2.0,Best Urban/Alternative Performance,2006,R&B,0.0172,0.835,182066.0,0.741,0,0.0577,8.0,0.0826,0.9731833333333333,1,72,0.0339,111.963,0.612,2006
5,Cry Me A River,Justin Timberlake,20.0,3.0,Best Male Pop Vocal Performance,2003,Pop,0.575,0.624,288333.0,0.653,0,0.0,8.0,0.10400000000000001,0.8903,0,74,0.17600000000000002,73.884,0.565,2002
6,Hey Ya!,Outkast,32.0,1.0,Best Urban/Alternative Performance,2003,R&B,0.10300000000000001,0.727,235213.0,0.9740000000000001,0,0.000532,4.0,0.174,0.9623166666666667,0,79,0.0664,79.52600000000001,0.965,2003
7,Iron Man,Black Sabbath,10.0,52.0,Best Metal Performance,1999,Rock,0.00367,0.332,354774.0,0.769,0,0.00413,9.0,0.0372,0.8082833333333334,1,53,0.0765,157.378,0.525,2017
8,Jesus Walks,Kanye West,25.0,11.0,Best Rap Song,2004,Rap,0.5925,0.63,193733.0,0.8365,1,0.0,4.5,0.305,0.921575,1,108,0.357,87.2945,0.702,2004
9,Rehab,Amy Winehouse,20.0,9.0,Record Of The Year,2007,General,0.0473,0.434,213760.0,0.872,0,1.83e-06,0.0,0.396,0.9504333333333334,1,68,0.0702,71.515,0.732,2006
10,Rehab,Amy Winehouse,20.0,9.0,Song Of The Year,2007,General,0.0473,0.434,213760.0,0.872,0,1.83e-06,0.0,0.396,0.9504333333333334,1,68,0.0702,71.515,0.732,2006
11,Rehab,Amy Winehouse,20.0,9.0,Best Female Pop Vocal Performance,2007,Pop,0.0473,0.434,213760.0,0.872,0,1.83e-06,0.0,0.396,0.9504333333333334,1,68,0.0702,71.515,0.732,2006
12,Seven Nation Army,The White Stripes,20.0,76.0,Best Rock Song,2003,Rock,0.00817,0.726,231733.0,0.46299999999999997,0,0.447,0.0,0.255,0.8695333333333334,1,80,0.0799,123.881,0.321,2003
13,Since U Been Gone,Kelly Clarkson,46.0,2.0,Best Female Pop Vocal Performance,2005,Pop,0.00179,0.6615,188973.5,0.7505,0,0.0446,0.0,0.11499999999999999,0.9142666666666667,1,119,0.0334,131.0,0.4145,2004
14,The Rising,Bruce Springsteen,11.0,52.0,Best Male Rock Vocal Performance,2002,Rock,0.0655,0.499,287040.0,0.7609999999999999,0,0.0,10.0,0.0895,0.89365,1,57,0.0324,110.186,0.326,2002
15,The Rising,Bruce Springsteen,11.0,52.0,Best Rock Song,2002,Rock,0.0655,0.499,287040.0,0.7609999999999999,0,0.0,10.0,0.0895,0.89365,1,57,0.0324,110.186,0.326,2002
